"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200706200690,3,15,2,1,0,1,0,2,1,1,5831983.811638,45,2,100,1,214,0,1,40,480.0,1,0,0,99,90
2020,20200706200698,1,11,1,1,0,1,0,1,1,1,2371137.669288,78,2,100,4,214,99,99,9999,99999.99,3,0,0,99,430
2020,20200706200699,2,11,3,1,0,1,0,3,1,1,1.3493913474486E7,62,2,110,4,213,99,99,9999,99999.99,3,0,0,99,150
2020,20200706200704,2,11,3,1,1,1,1,2,1,1,3996834.648951,52,2,100,5,112,0,1,40,680.0,3,1,0,99,255
2020,20200706200705,4,15,4,1,1,1,2,2,1,1,3052900.201625,35,1,100,1,217,0,1,45,1346.15,1,1,0,99,150
2020,20200706200707,2,15,5,1,1,1,3,2,1,1,7005375.556532,39,2,100,1,217,99,99,9999,99999.99,1,1,0,99,462
2020,20200706200711,2,13,2,1,0,1,0,2,1,1,7205125.172377,63,2,100,1,112,0,1,40,942.3,1,0,0,99,450
2020,20200706200714,3,15,1,1,0,1,0,1,1,1,8998855.727151,51,2,100,6,217,0,1,40,1006.0,3,0,0,99,0
2020,20200706200716,2,10,1,2,0,1,0,1,1,1,4318359.463875,26,1,100,6,217,0,1,40,680.0,3,0,0,99,0
2020,20200706200717,2,7,1,1,0,5,0,1,1,1,2445814.211699,80,2,100,3,214,99,99,9999,99999.99,3,0,0,99,90
2020,20200706200721,1,9,2,2,0,1,0,2,1,1,3084043.087842,85,2,100,3,213,99,99,9999,99999.99,3,0,0,99,0
2020,20200706200725,1,12,1,2,0,1,0,1,1,1,1.9995715089687E7,25,1,100,6,112,0,1,40,460.0,3,0,0,99,15
2020,20200706200727,2,11,5,1,1,1,3,2,1,1,3690321.170531,36,1,100,1,214,0,1,40,692.3,1,1,0,99,0
2020,20200706200729,4,9,2,1,0,1,0,2,1,1,1.141938741832E7,80,2,100,1,112,99,99,9999,99999.99,1,0,0,99,525
2020,20200706200730,2,12,2,1,0,1,0,2,1,1,1.1219465370935E7,69,2,100,1,112,99,99,9999,99999.99,1,0,0,99,180
2020,20200706200740,2,8,1,2,0,1,0,1,1,1,7430415.168805,76,2,100,3,112,99,99,9999,99999.99,3,0,0,99,125
2020,20200706200744,3,13,5,1,1,1,3,2,1,1,4726872.79659,31,2,110,6,217,0,2,20,403.3,1,1,0,99,90
2020,20200706200749,4,13,4,1,1,1,1,3,1,1,5622936.617147,53,1,100,1,214,0,1,60,1442.3,1,1,0,99,254
2020,20200706200757,2,15,4,1,1,1,2,2,1,1,4298781.290916,36,2,100,1,316,0,2,5,538.46,1,1,0,99,90
2020,20200706200758,2,15,5,1,1,1,3,2,1,1,6295897.988124,35,2,100,1,214,0,2,16,314.08,1,1,0,99,0
2020,20200706200763,1,9,6,1,1,1,4,2,1,1,7994861.640497,62,2,100,3,109,99,99,9999,99999.99,3,0,0,99,85
2020,20200706200770,2,16,4,1,1,1,2,2,1,1,3608891.905531,39,2,100,1,217,0,1,40,900.0,1,1,0,99,120
2020,20200706200774,1,14,2,1,0,1,0,2,1,1,1.8322123688527E7,37,1,100,1,217,1,1,41,450.0,1,0,0,99,70
2020,20200706200775,2,12,2,1,0,1,0,2,1,1,3954934.486046,77,1,100,1,214,99,99,9999,99999.99,1,0,0,99,30
2020,20200706200778,2,16,2,1,0,1,0,2,1,1,9706275.792332,57,1,100,1,112,0,1,50,1650.0,1,0,0,99,0
2020,20200706200779,1,14,2,2,1,1,1,1,1,1,2898837.190165,45,1,100,6,112,0,1,45,1250.0,3,1,0,99,120
2020,20200706200781,4,15,4,1,1,1,2,2,1,1,8277325.471999,40,1,100,1,316,0,1,40,807.69,1,1,0,99,130
2020,20200706200783,3,6,2,1,0,5,0,2,1,1,1.0890137886063E7,62,2,100,1,111,99,99,9999,99999.99,1,0,0,99,390
2020,20200706200787,3,13,4,1,1,1,2,2,1,1,2800971.006212,41,2,100,1,217,0,1,40,720.0,1,1,0,99,270
2020,20200706200790,2,12,2,1,0,1,0,2,1,1,1.403658944772E7,79,2,100,1,215,99,99,9999,99999.99,1,0,0,99,395
2020,20200706200797,1,10,1,2,0,1,0,1,1,1,1.5011301756609E7,25,1,100,6,217,1,1,40,510.0,3,0,0,99,30
2020,20200706200800,4,9,1,2,0,1,0,1,1,1,3283382.277753,69,2,100,4,112,99,99,9999,99999.99,3,0,0,99,185
2020,20200706200806,2,15,2,1,0,1,0,2,1,1,3879071.663155,65,1,100,1,217,99,99,9999,99999.99,1,0,0,99,255
2020,20200706200807,2,13,2,1,0,1,0,2,1,1,4391619.06174,68,1,100,1,320,0,2,20,480.76,1,0,0,99,120
2020,20200706200818,2,9,1,1,0,5,0,1,1,1,3167055.354823,73,1,100,4,112,99,99,9999,99999.99,3,0,0,99,60
2020,20200706200819,1,7,1,1,0,1,0,1,1,1,5223888.98707,74,2,100,6,112,99,99,9999,99999.99,3,0,0,99,30
2020,20200706200821,2,16,3,1,0,1,0,3,1,1,1.7792797707572E7,49,2,100,1,214,0,1,60,2307.69,1,0,0,99,6
2020,20200706200825,1,16,3,1,1,1,1,2,1,1,1.2266695784699E7,34,2,131,1,217,99,99,9999,99999.99,1,1,0,99,300
2020,20200706200826,2,11,1,1,0,1,0,1,1,1,8381979.949853,85,1,100,3,217,99,99,9999,99999.99,3,0,0,99,495
2020,20200706200829,3,7,1,2,0,1,0,1,1,1,6027416.435821,56,1,110,4,214,0,1,56,880.0,3,0,0,99,60
2020,20200706200831,3,16,5,1,0,1,0,5,1,1,9239948.949674,66,2,100,1,112,0,1,40,1075.2,1,0,0,99,510
2020,20200706200832,1,12,1,2,0,1,0,1,1,1,1.0101097211402E7,53,2,100,6,214,0,1,9995,1070.7,3,0,0,99,40
2020,20200706200834,2,16,2,1,0,1,0,2,1,1,5519833.620953,63,2,100,1,217,99,99,9999,99999.99,1,0,0,99,430
